nodes,iter,rs,init,fini,open,close,write,read,flush,prefetch,interface,workload,storage,access_pattern,file_sharing,process_grouping
2,1024,  4096,0.000000,0.000000,0.003872,0.001708,0.001380,0.004359,3.137330,0.000000,  MPIIO,worm,0,1,0,0
2,1024,  4096,0.000000,0.000000,0.000091,0.000006,0.004616,0.000000,1.750967,0.000000,  POSIX,  wo,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000066,0.000027,0.003792,0.000000,1.792921,0.000000,  STDIO,  wo,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.003003,0.000892,0.006309,0.000000,1.771619,0.000000,  MPIIO,  wo,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000013,0.000004,0.000000,0.004148,0.000000,0.010866,  POSIX,  ro,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000017,0.000037,0.000000,0.003413,0.000000,0.010658,  STDIO,  ro,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000753,0.000446,0.000000,0.004428,0.000000,0.014470,  MPIIO,  ro,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000103,0.000010,0.004687,0.004079,1.520272,0.000000,  POSIX, raw,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000033,0.000006,0.004294,0.003700,1.565786,0.000000,  POSIX, raw,1,0,0,2
2,1024,  4096,0.000000,0.000000,0.000112,0.000045,0.003745,0.003156,1.786056,0.000000,  STDIO, raw,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000036,0.000026,0.003446,0.002936,0.021007,0.000000,  STDIO, raw,1,0,0,2
2,1024,  4096,0.000000,0.000000,0.003855,0.001769,0.006305,0.004413,1.608268,0.000000,  MPIIO, raw,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000012,0.000006,0.005986,0.000000,1.821909,0.000000,  POSIX,update,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000171,0.000023,0.008032,0.000000,1.769629,0.000000,  STDIO,update,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000735,0.000719,0.005963,0.000000,1.749613,0.000000,  MPIIO,update,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000122,0.000012,0.001469,0.004024,1.254181,0.000000,  POSIX,worm,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000033,0.000006,0.000486,0.003796,1.105788,0.000000,  POSIX,worm,1,0,0,2
2,1024,  4096,0.000000,0.000000,0.000114,0.000042,0.001419,0.003173,1.173714,0.000000,  STDIO,worm,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000035,0.000024,0.000489,0.002964,1.075473,0.000000,  STDIO,worm,1,0,0,2
2,1024,  4096,0.000000,0.000000,0.003832,0.001834,0.001414,0.004346,1.554800,0.000000,  MPIIO,worm,1,0,0,0
2,1024,  4096,0.000000,0.000000,0.000012,0.000004,0.000000,0.004214,0.000000,0.014622,  POSIX,  ro,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000018,0.000034,0.000000,0.003308,0.000000,0.014105,  STDIO,  ro,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000784,0.000400,0.000000,0.004564,0.000000,0.011568,  MPIIO,  ro,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000110,0.000010,0.004661,0.004031,1.455164,0.000000,  POSIX, raw,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000033,0.000006,0.004295,0.003742,1.165268,0.000000,  POSIX, raw,1,1,0,2
2,1024,  4096,0.000000,0.000000,0.000105,0.000046,0.003814,0.003245,1.605714,0.000000,  STDIO, raw,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000033,0.000027,0.003488,0.002942,1.636457,0.000000,  STDIO, raw,1,1,0,2
2,1024,  4096,0.000000,0.000000,0.005747,0.001481,0.006371,0.004454,1.509589,0.000000,  MPIIO, raw,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000013,0.000006,0.006012,0.000000,1.736281,0.000000,  POSIX,update,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000188,0.000025,0.009204,0.000000,1.402023,0.000000,  STDIO,update,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000739,0.000663,0.005887,0.000000,1.716320,0.000000,  MPIIO,update,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000125,0.000012,0.001457,0.004012,1.298445,0.000000,  POSIX,worm,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000031,0.000006,0.000488,0.003826,1.297399,0.000000,  POSIX,worm,1,1,0,2
2,1024,  4096,0.000000,0.000000,0.000128,0.000042,0.001399,0.003170,1.542392,0.000000,  STDIO,worm,1,1,0,0
2,1024,  4096,0.000000,0.000000,0.000037,0.000025,0.000482,0.002994,1.200237,0.000000,  STDIO,worm,1,1,0,2
2,1024,  4096,0.000000,0.000000,0.003915,0.001683,0.001427,0.004438,1.784854,0.000000,  MPIIO,worm,1,1,0,0
2,1024,  4096,0.000000,0.000000,1.862404,0.000130,0.012908,0.000000,0.000000,0.000000,  POSIX,  wo,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.059745,0.000155,0.011817,0.000000,0.000000,0.000000,  STDIO,  wo,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.920665,0.000513,0.020623,0.000000,0.000000,0.000000,  MPIIO,  wo,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.000056,0.000010,0.000000,0.017192,0.000000,0.000000,  POSIX,  ro,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.000091,0.000024,0.000000,0.008843,0.000000,0.000000,  STDIO,  ro,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.000819,0.000499,0.000000,0.018516,0.000000,0.000000,  MPIIO,  ro,2,0,0,0
2,1024,  4096,0.000000,0.000000,1.379697,0.000100,0.012055,0.016648,0.000000,0.000000,  POSIX, raw,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.048606,0.000111,0.026244,0.011643,0.000000,0.000000,  POSIX, raw,2,0,0,1
2,1024,  4096,0.000000,0.000000,0.637403,0.000063,0.015137,0.011154,0.000000,0.000000,  POSIX, raw,2,0,0,2
2,1024,  4096,0.000000,0.000000,1.494045,0.000166,0.010963,0.008904,0.000000,0.000000,  STDIO, raw,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.044438,0.000126,0.019992,0.009835,0.000000,0.000000,  STDIO, raw,2,0,0,1
2,1024,  4096,0.000000,0.000000,0.651273,0.000089,0.005870,0.008710,0.000000,0.000000,  STDIO, raw,2,0,0,2
2,1024,  4096,0.000000,0.000000,1.504401,0.000986,0.016983,0.016787,0.000000,0.000000,  MPIIO, raw,2,0,0,0
2,1024,  4096,0.000000,0.000000,0.044927,0.000439,0.025909,0.012132,0.000000,0.000000,  MPIIO, raw,2,0,0,1
2,1024,  4096,0.000000,0.000000,0.770456,0.000457,0.012886,0.011803,0.000000,0.000000,  MPIIO, raw,2,0,0,2
