nodes,workload,access_pattern,file_sharing,process_grouping,rs,"('wo flush', 'best')","('wo flush', 'best_time')","('wo flush', 'worst')","('wo flush', 'worst_time')","('w flush', 'best')","('w flush', 'best_time')","('w flush', 'worst')","('w flush', 'worst_time')",improvement,improvement_f
32,worm,seq,fpp,same,4096,MPIIO-bb,0.0028358399999999996,MPIIO-pfs,0.017412,MPIIO-bb,1.81630684,MPIIO-pfs,0.017412,6.139979688557888,357.2216795711733
32,worm,seq,fpp,same,65536,POSIX-shm,0.034456,POSIX-bb,0.08424528,POSIX-shm,1.371706,POSIX-bb,1.48543328,2.4450104481077317,39.89239660543561
32,worm,seq,fpp,same,1048576,STDIO-shm,0.529397,POSIX-pfs,4.3403469999999995,STDIO-shm,4.627992000000001,POSIX-pfs,4.3403469999999995,8.198661873792258,1.5234767336124169
64,raw,random,fpp,prod-cons inter node,4096,STDIO-pfs,0.014478,MPIIO-pfs,0.024477,STDIO-pfs,0.014478,MPIIO-pfs,0.024477,1.6906340654786571,1.6906340654786571
64,raw,random,fpp,prod-cons inter node,65536,POSIX-pfs,0.05202,MPIIO-pfs,0.07187,POSIX-pfs,0.05202,MPIIO-pfs,0.07187,1.3815840061514804,1.3815840061514804
64,raw,random,fpp,prod-cons inter node,1048576,STDIO-pfs,2.450834,MPIIO-pfs,5.882326,STDIO-pfs,2.450834,MPIIO-pfs,5.882326,2.400132363105784,2.400132363105784
64,raw,random,fpp,prod-cons same node,4096,STDIO-shm,0.006411,MPIIO-pfs,0.020791999999999998,STDIO-shm,1.2472079999999999,MPIIO-pfs,0.020791999999999998,3.243175791608173,109.80876914949813
64,raw,random,fpp,prod-cons same node,65536,POSIX-shm,0.015866,POSIX-pfs,0.097631,POSIX-shm,1.4092879999999999,POSIX-pfs,0.097631,6.153472834993066,21.996851767423482
64,raw,random,fpp,prod-cons same node,1048576,POSIX-shm,0.199642,MPIIO-pfs,2.6701680000000003,POSIX-shm,4.555817,MPIIO-pfs,2.6701680000000003,13.374780857735349,4.256837984181044
64,raw,random,fpp,same,4096,STDIO-shm,0.006998,MPIIO-pfs,0.028333999999999998,STDIO-shm,1.30393,MPIIO-pfs,0.028333999999999998,4.048871106030294,99.54814004376368
64,raw,random,fpp,same,65536,POSIX-shm,0.024117,STDIO-pfs,0.07787,POSIX-shm,2.223518,STDIO-pfs,0.07787,3.228842725048721,44.68215340714988
64,raw,random,fpp,same,1048576,MPIIO-shm,0.34553,POSIX-pfs,7.234434,MPIIO-shm,6.921073,POSIX-pfs,7.234434,20.937209504239863,2.383284005473059
64,raw,seq,fpp,prod-cons inter node,4096,STDIO-pfs,0.014419000000000001,MPIIO-pfs,0.023624,STDIO-pfs,0.014419000000000001,MPIIO-pfs,0.023624,1.6383937859768358,1.6383937859768358
64,raw,seq,fpp,prod-cons inter node,65536,POSIX-pfs,0.047017,MPIIO-pfs,0.055858000000000005,POSIX-pfs,0.047017,MPIIO-pfs,0.055858000000000005,1.188038369100538,1.188038369100538
64,raw,seq,fpp,prod-cons inter node,1048576,MPIIO-pfs,2.564813,POSIX-pfs,2.81265,MPIIO-pfs,2.564813,POSIX-pfs,2.81265,1.0966296568209846,1.0966296568209846
64,raw,seq,fpp,prod-cons same node,4096,STDIO-shm,0.006377,MPIIO-pfs,0.021218,STDIO-shm,1.243389,MPIIO-pfs,0.021218,3.3272698761172967,122.56591387390576
64,raw,seq,fpp,prod-cons same node,65536,POSIX-shm,0.015984,MPIIO-pfs,0.1027,POSIX-shm,1.364253,MPIIO-pfs,0.1027,6.425175175175174,35.76799588371495
64,raw,seq,fpp,prod-cons same node,1048576,POSIX-shm,0.199603,POSIX-pfs,1.532475,POSIX-shm,4.676234,POSIX-pfs,1.532475,7.677615065905823,6.599040589047401
64,raw,seq,fpp,same,4096,STDIO-shm,0.00695,MPIIO-pfs,0.028586999999999998,STDIO-shm,1.293149,MPIIO-pfs,0.028586999999999998,4.113237410071942,239.8963612256924
64,raw,seq,fpp,same,65536,MPIIO-shm,0.023431,POSIX-pfs,0.09994700000000001,MPIIO-shm,1.501498,POSIX-pfs,0.09994700000000001,4.265588323161624,26.5460021547979
64,raw,seq,fpp,same,1048576,MPIIO-shm,0.346043,MPIIO-pfs,3.807598,MPIIO-shm,8.534472,MPIIO-pfs,3.807598,11.003251041055591,2.652790280147011
64,ro,random,fpp,same,4096,STDIO-shm,0.00344,POSIX-pfs,0.01678,STDIO-shm,0.017256,POSIX-pfs,0.01678,4.877906976744186,2.2329192546583854
64,ro,random,fpp,same,65536,POSIX-shm,0.00898,POSIX-pfs,0.0553,POSIX-shm,0.172404,POSIX-pfs,0.0553,6.158129175946548,8.471270291162073
64,ro,random,fpp,same,1048576,MPIIO-shm,0.08669,MPIIO-pfs,8.659065,MPIIO-shm,2.772677,MPIIO-pfs,8.659065,99.88539623947399,3.8548981636060105
64,ro,seq,fpp,same,4096,STDIO-shm,0.003422,POSIX-pfs,0.016763,STDIO-shm,0.01867,POSIX-pfs,0.016763,4.8985973115137345,2.396970086018744
64,ro,seq,fpp,same,65536,POSIX-shm,0.009155,POSIX-pfs,0.100487,POSIX-shm,0.179994,POSIX-pfs,0.100487,10.976187875477882,3.05033215835141
64,ro,seq,fpp,same,1048576,STDIO-shm,0.082577,STDIO-pfs,2.531215,STDIO-shm,2.471336,STDIO-pfs,2.531215,30.652784673698488,1.1180542304216268
64,update,random,fpp,same,4096,MPIIO-shm,0.005877,STDIO-bb,0.031617599999999996,MPIIO-shm,1.5968019999999998,STDIO-bb,1.5293366,5.379887697805001,93.77789406509254
64,update,random,fpp,same,65536,MPIIO-shm,0.012465,POSIX-pfs,0.114487,MPIIO-shm,2.2354380000000003,POSIX-pfs,0.114487,9.184677095868432,75.77031265155678
64,update,random,fpp,same,1048576,STDIO-shm,0.158046,STDIO-pfs,575.408562,STDIO-shm,6.757529,STDIO-pfs,575.408562,3640.7663718158005,89.40443640772912
64,update,seq,fpp,same,4096,MPIIO-shm,0.005956,STDIO-bb,0.02738399999999999,MPIIO-shm,1.748178,STDIO-bb,1.6685320000000001,4.597716588314303,105.4014640613292
64,update,seq,fpp,same,65536,MPIIO-shm,0.013483,MPIIO-pfs,0.069289,MPIIO-shm,2.220507,MPIIO-pfs,0.069289,5.13898983905659,88.16740900015358
64,update,seq,fpp,same,1048576,STDIO-shm,0.165406,POSIX-pfs,6.228624,STDIO-shm,6.670399,POSIX-pfs,6.228624,37.65657835870525,8.680608003991342
64,wo,seq,fpp,same,4096,STDIO-shm,0.003759,MPIIO-bb,0.021053759999999998,STDIO-shm,1.521601,MPIIO-bb,1.92144176,5.600893854748603,328.003031751451
64,wo,seq,fpp,same,65536,POSIX-shm,0.014392,STDIO-bb,0.06423983999999999,POSIX-shm,2.499374,STDIO-bb,2.33691284,4.463579766536965,186.25142857142856
64,wo,seq,fpp,same,1048576,MPIIO-shm,0.226262,STDIO-pfs,2.087388,MPIIO-shm,6.480418,STDIO-pfs,2.087388,9.225534999248659,8.040831298073742
64,worm,random,fpp,prod-cons inter node,4096,STDIO-pfs,0.00904,MPIIO-pfs,0.013153,STDIO-pfs,0.00904,MPIIO-pfs,0.013153,1.4549778761061947,1.4549778761061947
64,worm,random,fpp,prod-cons inter node,65536,STDIO-pfs,0.041958999999999996,MPIIO-pfs,0.046575,STDIO-pfs,0.041958999999999996,MPIIO-pfs,0.046575,1.1100121547224673,1.1100121547224673
64,worm,random,fpp,prod-cons inter node,1048576,MPIIO-pfs,6.073463,POSIX-pfs,998.42297,MPIIO-pfs,6.073463,POSIX-pfs,998.42297,164.3910516948897,164.3910516948897
64,worm,random,fpp,prod-cons same node,4096,POSIX-bb,0.0016598399999999997,MPIIO-pfs,0.009872,POSIX-bb,1.23558384,MPIIO-pfs,0.009872,5.947561210719107,244.63390456989248
